Institution,Program,Level,Accredited
4331.,Micro-credential in Qualitative and Critical Thinking,Diploma in Human Resource Management,MQA/FA8496
4332.,Micro-credential in Essential of Modern Age and Digital Skills,Diploma in Human Resource Management,MQA/FA8496
4333.,Micro-credential in Ethos of Life for Self and Society,Diploma in Human Resource Management,MQA/FA8496
4334.,Micro-credential in Introduction to Business,Diploma in Human Resource Management,MQA/FA8496
4335.,Micro-credential in Principles of Accounting,Diploma in Human Resource Management,MQA/FA8496
4336.,Micro-credential in Basic of Digital Marketing,Diploma in Human Resource Management,MQA/FA8496
4337.,Micro-credential in Macroeconomics,Diploma in Human Resource Management,MQA/FA8496
4338.,Micro-credential in Principles of Marketing,Diploma in Human Resource Management,MQA/FA8496
4339.,Micro-credential in Business Mathematics,Diploma in Human Resource Management,MQA/FA8496
4340.,Micro-credential in Human Resource Management,Diploma in Human Resource Management,MQA/FA8496
4341.,Micro-credential in Human Resource Management,Diploma in Human Resource Management,MQA/FA8496
4342.,Micro-credential in Entrepreneurship,Diploma in Human Resource Management,MQA/FA8496
4343.,Micro-credential in Business Statistic,Diploma in Human Resource Management,MQA/FA8496
4344.,Micro-credential in Organizational Behaviour,Diploma in Human Resource Management,MQA/FA8496
4345.,Micro-credential in Employment law,Diploma in Human Resource Management,MQA/FA8496
4346.,Micro-credential in Planning and Recruitment,Diploma in Human Resource Management,MQA/FA8496
4347.,Micro-credential in compensation management,Diploma in Human Resource Management,MQA/FA8496
4348.,Micro-credential in Business Communication,Diploma in Human Resource Management,MQA/FA8496
4349.,Micro-credential in Training and Development,Diploma in Human Resource Management,MQA/FA8496
4350.,Micro-credential in Industrial Relation,Diploma in Human Resource Management,MQA/FA8496
4351.,Micro-credential in Human Resource Management,Diploma in Human Resource Management,MQA/FA8496
4352.,Micro-credential in Industrial Training,Diploma in Human Resource Management,MQA/FA8496
4353.,MICRO-CREDENTIAL IN CHILD GROWTH AND DEVELOPMENT,DIPLOMA IN EARLY CHILDHOOD EDUCATION,MQA/PA 11902
4354.,MICRO-CREDENTIAL IN EARLY CHILDHOOD GUIDANCE BEHAVIOR,DIPLOMA IN EARLY CHILDHOOD EDUCATION,MQA/PA 11902
4355.,MICRO-CREDENTIAL IN PLANNING AND DEVELOPMENT OF ECE,DIPLOMA IN EARLY CHILDHOOD EDUCATION,MQA/PA 11902
4356.,MICRO-CREDENTIAL IN EARLY CHILDHOOD CURRICULUM IN MALAYSIA,DIPLOMA IN EARLY CHILDHOOD EDUCATION,MQA/PA 11902
4357.,MICRO-CREDENTIAL IN ADMINISTRATION AND MANAGEMENT OF ECE,DIPLOMA IN EARLY CHILDHOOD EDUCATION,MQA/PA 11902
4358.,"MICRO-CREDENTIAL IN LANGUAGE, COMMUNCIATION AND LITERACY IN ECE",DIPLOMA IN EARLY CHILDHOOD EDUCATION,MQA/PA 11902
4359.,MICRO-CREDENTIAL IN EARLY SCIENCE AND TECHNOLOGY IN ECE,DIPLOMA IN EARLY CHILDHOOD EDUCATION,MQA/PA 11902
4360.,MICRO-CREDENTIAL IN PLAY IN ECE,DIPLOMA IN EARLY CHILDHOOD EDUCATION,MQA/PA 11902
4361.,MICRO-CREDENTIAL IN MANAGEMENT OF LEARNING ENVIRONMENTS AND RESOURCES,DIPLOMA IN EARLY CHILDHOOD EDUCATION,MQA/PA 11902
4362.,MICRO-CREDENTIAL IN SOCIAL STUDIES AND DIVERSITY EDUCATION,DIPLOMA IN EARLY CHILDHOOD EDUCATION,MQA/PA 11902
4363.,MICRO-CREDENTIAL IN SPIRITUAL AND MORAL ASPECTS IN ECE,DIPLOMA IN EARLY CHILDHOOD EDUCATION,MQA/PA 11902
4364.,"MICRO-CREDENTIAL IN SAFETY, HEALTH AND NUTRITION IN ECE",DIPLOMA IN EARLY CHILDHOOD EDUCATION,MQA/PA 11902
4365.,MICRO-CREDENTIAL IN SPECIAL NEEDS IN ECE,DIPLOMA IN EARLY CHILDHOOD EDUCATION,MQA/PA 11902
4366.,MICRO-CREDENTIAL IN OBSERVATION AND ASSESSMENT OF YOUNG CHILDREN,DIPLOMA IN EARLY CHILDHOOD EDUCATION,MQA/PA 11902
4367.,MICRO-CREDENTIAL IN WORKING IN PARTNERSHIP WITH FAMILIES,DIPLOMA IN EARLY CHILDHOOD EDUCATION,MQA/PA 11902
4368.,MICRO-CREDENTIAL IN WORKING IN PARTNERSHIP WITH THE COMMUNITY,DIPLOMA IN EARLY CHILDHOOD EDUCATION,MQA/PA 11902
4369.,MICRO-CREDENTIAL IN ARTS AND CRAFT IN ECE,DIPLOMA IN EARLY CHILDHOOD EDUCATION,MQA/PA 11902
4370.,MICRO-CREDENTIAL IN FIRST AID AND BASIC LIFE SUPPORT,DIPLOMA IN EARLY CHILDHOOD EDUCATION,MQA/PA 11902
4371.,MICRO-CREDENTIAL IN MUSIC AND MOVEMENT IN ECE,DIPLOMA IN EARLY CHILDHOOD EDUCATION,MQA/PA 11902
4372.,MICRO-CREDENTIAL IN NUMERACY SKILLS AND EARLY MATHEMATICS IN ECE,DIPLOMA IN EARLY CHILDHOOD EDUCATION,MQA/PA 11902
4373.,MICRO-CREDENTIAL IN EDUCATOR OF ECE,DIPLOMA IN EARLY CHILDHOOD EDUCATION,MQA/PA 11902
4374.,Micro-Credential in Clinical Practice and Management 1,Diploma in Dental Surgery Assistant,MQA/PA 5172
4375.,Micro-Credential in Pengajian Malaysia 2,Diploma in Dental Surgery Assistant,MQA/PA 5172
4376.,Micro-Credential in Creative & Critical Thinking,Diploma in Dental Surgery Assistant,MQA/PA 5172
4377.,Micro-Credential in Time management,Diploma in Dental Surgery Assistant,MQA/PA 5172
4378.,Micro-Credential in Co-curricular Project,Diploma in Dental Surgery Assistant,MQA/PA 5172
4379.,Micro-Credential in Academic English,Diploma in Dental Surgery Assistant,MQA/PA 5172
4380.,Micro-Credential in Basic Science 1,Diploma in Dental Surgery Assistant,MQA/PA 5172
4381.,Micro-Credential in Basic Science 2,Diploma in Dental Surgery Assistant,MQA/PA 5172
4382.,Micro-Credential in Behavioral Science,Diploma in Dental Surgery Assistant,MQA/PA 5172
4383.,Micro-Credential in Clinical Science 3,Diploma in Dental Surgery Assistant,MQA/PA 5172
4384.,Micro-Credential in Clinical Science 2,Diploma in Dental Surgery Assistant,MQA/PA 5172
4385.,Micro-Credential in Clinical Practice and Management 2,Diploma in Dental Surgery Assistant,MQA/PA 5172
4386.,Micro-Credential in Clinical Practice and Management 3,Diploma in Dental Surgery Assistant,MQA/PA 5172
4387.,Micro-Credential in Clinical Practice and Management 4,Diploma in Dental Surgery Assistant,MQA/PA 5172
4388.,Micro Credentials in Clinical Practice and Management 5,Diploma in Dental Surgery Assistant,MQA/PA 5172
4389.,Micro-Credential in Clinical Practice and Management 6,Diploma in Dental Surgery Assistant,MQA/PA 5172
4390.,Micro-Credential in Clinical Practice and Management 8,Diploma in Dental Surgery Assistant,MQA/PA 5172
4391.,Micro-Credential in Clinical Science 4,Diploma in Dental Surgery Assistant,MQA/PA 5172
4392.,Micro-Credential in Clinical Science 5,Diploma in Dental Surgery Assistant,MQA/PA 5172
4393.,Micro-Credential in Clinical Science 6,Diploma in Dental Surgery Assistant,MQA/PA 5172
4394.,Micro-Credential in Clinical Science 7,Diploma in Dental Surgery Assistant,MQA/PA 5172
4395.,Micro-Credential in Clinical Science 1,Diploma in Dental Surgery Assistant,MQA/PA 5172
4396.,Micro-Credential in Dental Science 2,Diploma in Dental Surgery Assistant,MQA/PA 5172
4397.,Micro-Credential in Dental Science 1,Diploma in Dental Surgery Assistant,MQA/PA 5172
4398.,Microcredential in Syariah Islamiyyah,Bachelor of Science (Honours) in Islamic Finance,MQA/PA 7423
4399.,Microcredential in Principles of Fiqh Mu'amalat,Bachelor of Science (Honours) in Islamic Finance,MQA/PA 7423
4400.,Microcredential in Human Resource Management,Bachelor of Science (Honours) in Islamic Finance,MQA/PA 7423
4401.,Microcredential in Entreprenuership,Bachelor of Science (Honours) in Islamic Finance,MQA/PA 7423
4402.,Microcredential in Usul Fiqh,Bachelor of Science (Honours) in Islamic Finance,MQA/PA 7423
4403.,Microcredential in Malaysian Company Law,Bachelor of Science (Honours) in Islamic Finance,MQA/PA 7423
4404.,Microcredential in Money and Banking,Bachelor of Science (Honours) in Islamic Finance,MQA/PA 7423
4405.,Microcredential in Basic Arabic for Muamalat 1,Bachelor of Science (Honours) in Islamic Finance,MQA/PA 7423
4406.,Microcredential in Islamic Theology,Bachelor of Science (Honours) in Islamic Finance,MQA/PA 7423
4407.,Microcredential in Professional Communication,Bachelor of Science (Honours) in Islamic Finance,MQA/PA 7423
4408.,Microcredential in Youth Development,Bachelor of Science (Honours) in Islamic Finance,MQA/PA 7423
4409.,Microcredential in Fundamentals of Islamic Management,Bachelor of Science (Honours) in Islamic Finance,MQA/PA 7423
4410.,Microcredential in Islamic Financial Service Legal Framework,Bachelor of Science (Honours) in Islamic Finance,MQA/PA 7423
4411.,Microcredential in Principles and Practices of Takaful,Bachelor of Science (Honours) in Islamic Finance,MQA/PA 7423
4412.,Microcredential in Accounting for Islamic Financial Transactions,Bachelor of Science (Honours) in Islamic Finance,MQA/PA 7423
4413.,Microcredential in Basic Arabic for Muamalat 2,Bachelor of Science (Honours) in Islamic Finance,MQA/PA 7423
4414.,Microcredential in Qawa'id Fiqhiyyah,Bachelor of Science (Honours) in Islamic Finance,MQA/PA 7423
4415.,Microcredential in Application of Fiqh Mu'amalat in Islamic Finance,Bachelor of Science (Honours) in Islamic Finance,MQA/PA 7423
4416.,Microcredential in Marketing Management,Bachelor of Science (Honours) in Islamic Finance,MQA/PA 7423
4417.,Microcredential in Community Work,Bachelor of Science (Honours) in Islamic Finance,MQA/PA 7423
4418.,Microcredential in Islamic Money and Payment System,Bachelor of Science (Honours) in Islamic Finance,MQA/PA 7423
4419.,Microcredential in Banking and Finance Information System,Bachelor of Science (Honours) in Islamic Finance,MQA/PA 7423
4420.,Microcredential in Corporate Social Responsibility,Bachelor of Science (Honours) in Islamic Finance,MQA/PA 7423
4421.,Microcredential in Leadership and Strategic Management from Islamic Perspective,Bachelor of Science (Honours) in Islamic Finance,MQA/PA 7423
4422.,Microcredential in Auditing and Governance for Islamic Financial Institutions,Bachelor of Science (Honours) in Islamic Finance,MQA/PA 7423
4423.,Microcredential in Investment Analysis,Bachelor of Science (Honours) in Islamic Finance,MQA/PA 7423
4424.,Microcredential in Corporate Finance (Elective),Bachelor of Science (Honours) in Islamic Finance,MQA/PA 7423
4425.,Microcredential in International Finance (Elective),Bachelor of Science (Honours) in Islamic Finance,MQA/PA 7423
4426.,Microcredential in Financial Derivatives (Elective),Bachelor of Science (Honours) in Islamic Finance,MQA/PA 7423
4427.,Microcredential in Islamic Risk Management,Bachelor of Science (Honours) in Islamic Finance,MQA/PA 7423
4428.,Microcredential in Islamic Capital Market,Bachelor of Science (Honours) in Islamic Finance,MQA/PA 7423
4429.,Microcredential in Islamic Wealth Management,Bachelor of Science (Honours) in Islamic Finance,MQA/PA 7423
4430.,Microcredential in Waqf Management,Bachelor of Science (Honours) in Islamic Finance,MQA/PA 7423
4431.,Practical Training,Bachelor of Science (Honours) in Islamic Finance,MQA/PA 7423
4432.,Microcredential in Principles of Finance,Bachelor of Science (Honours) in Islamic Finance,MQA/PA 7423
4433.,Microcredential in Entrepreneurship From Islamic Perspective,Bachelor of Science (Honours) in Islamic Finance,MQA/PA 7423
4434.,Microcredential in Principles of Accounting,Bachelor of Science (Honours) in Islamic Finance,MQA/PA 7423
4435.,Microcredential in Microeconomics,Bachelor of Science (Honours) in Islamic Finance,MQA/PA 7423
4436.,Microcredential in Business Mathematics,Bachelor of Science (Honours) in Islamic Finance,MQA/PA 7423
4437.,Microcredential in Business Statistics,Bachelor of Science (Honours) in Islamic Finance,MQA/PA 7423
4438.,Microcredential in Islamic Finance,Bachelor of Science (Honours) in Islamic Finance,MQA/PA 7423
4439.,Microcredential in Hubungan Etnik,Bachelor of Science (Honours) in Islamic Finance,MQA/PA 7423
4440.,Microcredential in Bahasa Melayu Komunikasi 2,Bachelor of Science (Honours) in Islamic Finance,MQA/PA 7423
4441.,Microcredential in TamadunIslam & Tamadun Asia (TITAS),Bachelor of Science (Honours) in Islamic Finance,MQA/PA 7423
4442.,Microcredential in Malaysian Studies,Bachelor of Science (Honours) in Islamic Finance,MQA/PA 7423
4443.,Microcredential in Malaysian Studies,Bachelor of Science (Honours) in Islamic Finance,MQA/PA 7423
4444.,Microcredential in   Macroeconomics,Bachelor of Science (Honours) in Islamic Finance,MQA/PA 7423
4445.,Microcredential in Tarikh Tashri',Bachelor of Science (Honours) in Islamic Finance,MQA/PA 7423
4446.,Microcredential in  Islamic Economics,Bachelor of Science (Honours) in Islamic Finance,MQA/PA 7423
4447.,Micro-credential inMobile Game Development,Bachelor of Information Technology (Hons),MQA/PA 9326
4448.,Micro-credential inAdhoc & Sensor Network,Bachelor of Information Technology (Hons),MQA/PA 9326
4449.,Micro-credential inHigh Speed Network,Bachelor of Information Technology (Hons),MQA/PA 9326
4450.,Micro-credential inIndustrial Training,Bachelor of Information Technology (Hons),MQA/PA 9326
4451.,Micro-credential inDistributed Computing System,Bachelor of Information Technology (Hons),MQA/PA 9326
4452.,Micro-credential inEthical Hacking,Bachelor of Information Technology (Hons),MQA/PA 9326
4453.,Micro-credential inComputer Architecture & Organization,Bachelor of Information Technology (Hons),MQA/PA 9326
4454.,Micro-credential inDatabase Architecture & Administration,Bachelor of Information Technology (Hons),MQA/PA 9326
4455.,Micro-credential inPrototyping and Interactive Game Designs,Bachelor of Information Technology (Hons),MQA/PA 9326
4456.,Micro-credential inOperating System,Bachelor of Information Technology (Hons),MQA/PA 9326
4457.,Micro-credential inData Structure & Algorithm,Bachelor of Information Technology (Hons),MQA/PA 9326
4458.,Micro-credential inEnvironmental Management & Technology,Bachelor of Information Technology (Hons),MQA/PA 9326
4459.,Micro-credential inComputer Networks,Bachelor of Information Technology (Hons),MQA/PA 9326
4460.,Micro-credential inDatabase Management,Bachelor of Information Technology (Hons),MQA/PA 9326
4461.,Micro-credential inMathematics for Computations,Bachelor of Information Technology (Hons),MQA/PA 9326
4462.,Micro-credential inHuman Computer Interaction,Bachelor of Information Technology (Hons),MQA/PA 9326
4463.,Micro-credential inInformation Security,Bachelor of Information Technology (Hons),MQA/PA 9326
4464.,Micro-credential inComputer Ethics and Cyber Law,Bachelor of Information Technology (Hons),MQA/PA 9326
4465.,Micro-credential inWeb Technologies,Bachelor of Information Technology (Hons),MQA/PA 9326
4466.,Micro-credential inSoftware Project Management,Bachelor of Information Technology (Hons),MQA/PA 9326
4467.,Micro-credential inResearch Project,Bachelor of Information Technology (Hons),MQA/PA 9326
4468.,Micro-credential inEnglish,Bachelor of Information Technology (Hons),MQA/PA 9326
4469.,Micro-credential inBusiness Statistics,Bachelor of Information Technology (Hons),MQA/PA 9326
4470.,Micro-credential inResearch Methodology,Bachelor of Information Technology (Hons),MQA/PA 9326
4471.,Micro-credential inDiscrete Mathematics,Bachelor of Information Technology (Hons),MQA/PA 9326
4472.,Micro-credential inMalaysian Studies,Bachelor of Information Technology (Hons),MQA/PA 9326
4473.,Micro-credential inTITAS,Bachelor of Information Technology (Hons),MQA/PA 9326
4474.,Micro-credential inBM Komunikasi 2,Bachelor of Information Technology (Hons),MQA/PA 9326
4475.,Micro-credential inHubungan Etnik,Bachelor of Information Technology (Hons),MQA/PA 9326
4476.,Micro-credential inBig Data Analysis,Bachelor of Information Technology (Hons),MQA/PA 9326
4477.,Micro-credential inData Warehousing and Mining,Bachelor of Information Technology (Hons),MQA/PA 9326
4478.,Micro-credential inBusiness Processes with SAP ERP Systems,Bachelor of Information Technology (Hons),MQA/PA 9326
4479.,Micro-credential inSQL Programming,Bachelor of Information Technology (Hons),MQA/PA 9326
4480.,Micro-credential inDatabase Technologies,Bachelor of Information Technology (Hons),MQA/PA 9326
4481.,Micro-credential inDiscrete Mathematics,Bachelor of Information Technology (Hons),MQA/PA 9326
4482.,Micro-credential inFundamental of Computer Graphics,Bachelor of Information Technology (Hons),MQA/PA 9326
4483.,Micro-credential inFundamentls of Mobile Computing,Bachelor of Information Technology (Hons),MQA/PA 9326
4484.,Micro-credential inIntegrative Programming,Bachelor of Information Technology (Hons),MQA/PA 9326
4485.,Micro-credential inVirtual Reality,Bachelor of Information Technology (Hons),MQA/PA 9326
4486.,Micro-credential inGame Technology,Bachelor of Information Technology (Hons),MQA/PA 9326
4487.,Micro-credential inWireless communication,Bachelor of Information Technology (Hons),MQA/PA 9326
4488.,Micro-credential inNetwork Protocols,Bachelor of Information Technology (Hons),MQA/PA 9326
4489.,Micro-credential inArtificial Intelligence for Game Developers,Bachelor of Information Technology (Hons),MQA/PA 9326
4490.,Micro-credential inMobile Applications Development,Bachelor of Information Technology (Hons),MQA/PA 9326
4491.,Micro-credential inRouting and Switching,Bachelor of Information Technology (Hons),MQA/PA 9326
4492.,Micro-credential inMobile Technology,Bachelor of Information Technology (Hons),MQA/PA 9326
4493.,Micro-credential inTCP/IP Programming,Bachelor of Information Technology (Hons),MQA/PA 9326
4494.,Micro-credential inMultimedia and Animation,Bachelor of Information Technology (Hons),MQA/PA 9326
4495.,Micro-credential inXML & Web Services,Bachelor of Information Technology (Hons),MQA/PA 9326
4496.,Micro-credential inIntroduction to Programming,Bachelor of Information Technology (Hons),MQA/PA 9326
4497.,Micro-credential inInformation Technology Fundamentals,Bachelor of Information Technology (Hons),MQA/PA 9326
4498.,Micro-credential inInformation Management,Bachelor of Information Technology (Hons),MQA/PA 9326
4499.,Micro-credential inYouth Development,Bachelor of Information Technology (Hons),MQA/PA 9326
4500.,Micro-credential inEntrepreneurship,Bachelor of Information Technology (Hons),MQA/PA 9326
4501.,Micro-credential inCommunity Work,Bachelor of Information Technology (Hons),MQA/PA 9326
4502.,Microcredential in Primary Health Care,DIPLOMA IN PARAMEDICAL SCIENCE,MQA/PA 9410
4503.,Microcredential in Emergency Medicine,DIPLOMA IN PARAMEDICAL SCIENCE,MQA/PA 9410
4504.,Microcredential in Emergency Medicine,DIPLOMA IN PARAMEDICAL SCIENCE,MQA/PA 9410
4505.,Microcredential in Prehospital Care,DIPLOMA IN PARAMEDICAL SCIENCE,MQA/PA 9410
4506.,Microcredential in Personality and Professional Development,DIPLOMA IN PARAMEDICAL SCIENCE,MQA/PA 9410
4507.,Microcredential in Personality and Professional Development,DIPLOMA IN PARAMEDICAL SCIENCE,MQA/PA 9410
4508.,Microcredential in Anatomy for Paramedics,DIPLOMA IN PARAMEDICAL SCIENCE,MQA/PA 9410
4509.,Microcredential in Anatomy for Paramedics,DIPLOMA IN PARAMEDICAL SCIENCE,MQA/PA 9410
4510.,Microcredential in Physiology for Paramedics,DIPLOMA IN PARAMEDICAL SCIENCE,MQA/PA 9410
4511.,Microcredential in Physiology for Paramedics,DIPLOMA IN PARAMEDICAL SCIENCE,MQA/PA 9410
4512.,Microcredential in Physiology for Paramedics,DIPLOMA IN PARAMEDICAL SCIENCE,MQA/PA 9410
4513.,Microcredential inEmergency Medical Dispatch,DIPLOMA IN PARAMEDICAL SCIENCE,MQA/PA 9410
4514.,Microcredential inEmergency Medical Dispatch,DIPLOMA IN PARAMEDICAL SCIENCE,MQA/PA 9410
4515.,Microcredential in Emergency Medicine,DIPLOMA IN PARAMEDICAL SCIENCE,MQA/PA 9410
4516.,Microcredential in  Prehospital Care,DIPLOMA IN PARAMEDICAL SCIENCE,MQA/PA 9410
4517.,Microcredential in  Prehospital Care,DIPLOMA IN PARAMEDICAL SCIENCE,MQA/PA 9410
4518.,Microcredential in Pathology,DIPLOMA IN PARAMEDICAL SCIENCE,MQA/PA 9410
4519.,Microcredential in Pathology,DIPLOMA IN PARAMEDICAL SCIENCE,MQA/PA 9410
4520.,Microcredential in Pathology,DIPLOMA IN PARAMEDICAL SCIENCE,MQA/PA 9410
4521.,Microcredential in Pathology,DIPLOMA IN PARAMEDICAL SCIENCE,MQA/PA 9410
4522.,Microcredential in Pharmacology,DIPLOMA IN PARAMEDICAL SCIENCE,MQA/PA 9410
4523.,Microcredential in Pharmacology,DIPLOMA IN PARAMEDICAL SCIENCE,MQA/PA 9410
4524.,Microcredential in Microbiology,DIPLOMA IN PARAMEDICAL SCIENCE,MQA/PA 9410
4525.,Microcredential in Microbiology,DIPLOMA IN PARAMEDICAL SCIENCE,MQA/PA 9410
4526.,Microcredential in Primary Health Care,DIPLOMA IN PARAMEDICAL SCIENCE,MQA/PA 9410
4527.,Microcredential in Primary Health Care,DIPLOMA IN PARAMEDICAL SCIENCE,MQA/PA 9410
4528.,Microcredential in Prehospital Care,DIPLOMA IN PARAMEDICAL SCIENCE,MQA/PA 9410
4529.,"Microcredential in Prehospital Care-III, Ambulance Operations",DIPLOMA IN PARAMEDICAL SCIENCE,MQA/PA 9410
4530.,"Microcredential in Prehospital Care-III, Ambulance Operations",DIPLOMA IN PARAMEDICAL SCIENCE,MQA/PA 9410
4531.,Microcredential in Public Health,DIPLOMA IN PARAMEDICAL SCIENCE,MQA/PA 9410
4532.,Microcredential in Public Health,DIPLOMA IN PARAMEDICAL SCIENCE,MQA/PA 9410
4533.,Microcredential in Public Health,DIPLOMA IN PARAMEDICAL SCIENCE,MQA/PA 9410
4534.,Microcredential in Emergency Medicine,DIPLOMA IN PARAMEDICAL SCIENCE,MQA/PA 9410
4535.,Microcredential in Emergency Medicine,DIPLOMA IN PARAMEDICAL SCIENCE,MQA/PA 9410
4536.,Microcredential in Emergency Medicine,DIPLOMA IN PARAMEDICAL SCIENCE,MQA/PA 9410
4537.,Microcredential in Prehospital Care,DIPLOMA IN PARAMEDICAL SCIENCE,MQA/PA 9410
4538.,Microcredential in Prehospital Care,DIPLOMA IN PARAMEDICAL SCIENCE,MQA/PA 9410
4539.,Microcredential in Obstetrics and Gynaecology Emergencies,DIPLOMA IN PARAMEDICAL SCIENCE,MQA/PA 9410
4540.,Microcredential in Obstetrics and Gynaecology Emergencies,DIPLOMA IN PARAMEDICAL SCIENCE,MQA/PA 9410
4541.,Microcredential in Obstetrics and Gynaecology Emergencies,DIPLOMA IN PARAMEDICAL SCIENCE,MQA/PA 9410
4542.,Microcredential in Obstetrics and Gynaecology Emergencies,DIPLOMA IN PARAMEDICAL SCIENCE,MQA/PA 9410
4543.,Microcredential in Disaster Medicine and Relief,DIPLOMA IN PARAMEDICAL SCIENCE,MQA/PA 9410
4544.,Microcredential in Disaster Medicine and Relief,DIPLOMA IN PARAMEDICAL SCIENCE,MQA/PA 9410
4545.,Microcredential in Pediatrics,DIPLOMA IN PARAMEDICAL SCIENCE,MQA/PA 9410
4546.,Microcredential in Pediatrics,DIPLOMA IN PARAMEDICAL SCIENCE,MQA/PA 9410
4547.,Microcredential in Pediatrics,DIPLOMA IN PARAMEDICAL SCIENCE,MQA/PA 9410
4548.,"Microcredential in Emergency Medicine-111, Case Studies",DIPLOMA IN PARAMEDICAL SCIENCE,MQA/PA 9410
4549.,"Microcredential in Emergency Medicine-111, Case Studies",DIPLOMA IN PARAMEDICAL SCIENCE,MQA/PA 9410
4550.,Microcredential in Disater Medicine,DIPLOMA IN PARAMEDICAL SCIENCE,MQA/PA 9410
4551.,Microcredential in Disater Medicine,DIPLOMA IN PARAMEDICAL SCIENCE,MQA/PA 9410
4552.,Microcredential in Disater Medicine,DIPLOMA IN PARAMEDICAL SCIENCE,MQA/PA 9410
4553.,Microcredential in Disater Medicine,DIPLOMA IN PARAMEDICAL SCIENCE,MQA/PA 9410
4554.,Microcredential in Labour Ward,DIPLOMA IN PARAMEDICAL SCIENCE,MQA/PA 9410
4555.,Microcredential in Labour Ward,DIPLOMA IN PARAMEDICAL SCIENCE,MQA/PA 9410
4556.,Microcredential in Pediatrics,DIPLOMA IN PARAMEDICAL SCIENCE,MQA/PA 9410
4557.,Microcredential in Pediatrics,DIPLOMA IN PARAMEDICAL SCIENCE,MQA/PA 9410
4558.,Microcredential in Pediatrics,DIPLOMA IN PARAMEDICAL SCIENCE,MQA/PA 9410
4559.,Microcredential in Primary Health Care,DIPLOMA IN PARAMEDICAL SCIENCE,MQA/PA 9410
4560.,Microcredential in Personality and Professional Development,DIPLOMA IN PARAMEDICAL SCIENCE,MQA/PA 9410
4561.,"Microcredential in Prehospital Care-III, Ambulance Operations",DIPLOMA IN PARAMEDICAL SCIENCE,MQA/PA 9410
4562.,"Microcredential in Emergency Medicine-111, Case Studies",DIPLOMA IN PARAMEDICAL SCIENCE,MQA/PA 9410
4563.,"Microcredential in Surgery-1, General",DIPLOMA IN PARAMEDICAL SCIENCE,MQA/PA 9410
4564.,Microcredential in Primary Health Care,DIPLOMA IN PARAMEDICAL SCIENCE,MQA/PA 9410
4565.,Microcredential in Primary Health Care,DIPLOMA IN PARAMEDICAL SCIENCE,MQA/PA 9410
4566.,Microcredential in Psychology,DIPLOMA IN PARAMEDICAL SCIENCE,MQA/PA 9410
4567.,Microcredential in Psychology,DIPLOMA IN PARAMEDICAL SCIENCE,MQA/PA 9410
4568.,"Microcredential in Medicine-1, General",DIPLOMA IN PARAMEDICAL SCIENCE,MQA/PA 9410
4569.,"Microcredential in Medicine-1, General",DIPLOMA IN PARAMEDICAL SCIENCE,MQA/PA 9410
4570.,"Microcredential in Medicine-1, General",DIPLOMA IN PARAMEDICAL SCIENCE,MQA/PA 9410
4571.,"Microcredential in Surgery-1, General",DIPLOMA IN PARAMEDICAL SCIENCE,MQA/PA 9410
4572.,"Microcredential in Surgery-1, General",DIPLOMA IN PARAMEDICAL SCIENCE,MQA/PA 9410
4573.,"Microcredential in Prehospital Care-1, Patient Assessment",DIPLOMA IN PARAMEDICAL SCIENCE,MQA/PA 9410
4574.,"Microcredential in Prehospital Care-1, Patient Assessment",DIPLOMA IN PARAMEDICAL SCIENCE,MQA/PA 9410
4575.,"Microcredential in Prehospital Care-1, Patient Assessment",DIPLOMA IN PARAMEDICAL SCIENCE,MQA/PA 9410
4576.,Microcredential in Emergency Medicine,DIPLOMA IN PARAMEDICAL SCIENCE,MQA/PA 9410
4577.,Microcredential in Emergency Medicine,DIPLOMA IN PARAMEDICAL SCIENCE,MQA/PA 9410
4578.,Microcredential in Prehospital Care,DIPLOMA IN PARAMEDICAL SCIENCE,MQA/PA 9410
4579.,Microcredential in Prehospital Care,DIPLOMA IN PARAMEDICAL SCIENCE,MQA/PA 9410
4580.,Microcredential in Orthopedics,DIPLOMA IN PARAMEDICAL SCIENCE,MQA/PA 9410
4581.,Microcredential in Orthopedics,DIPLOMA IN PARAMEDICAL SCIENCE,MQA/PA 9410
4582.,"Microcredential in Medicine-II, Systems",DIPLOMA IN PARAMEDICAL SCIENCE,MQA/PA 9410
4583.,"Microcredential in Medicine-II, Systems",DIPLOMA IN PARAMEDICAL SCIENCE,MQA/PA 9410
4584.,Microcredential in Prehospital Care,DIPLOMA IN PARAMEDICAL SCIENCE,MQA/PA 9410
4585.,"Microcredential in Surgery-II, Systems",DIPLOMA IN PARAMEDICAL SCIENCE,MQA/PA 9410
4586.,Microcredential in Orthopedics,DIPLOMA IN PARAMEDICAL SCIENCE,MQA/PA 9410
4587.,Microcredential in Orthopedics,DIPLOMA IN PARAMEDICAL SCIENCE,MQA/PA 9410
4588.,Microcredential in Orthopedics,DIPLOMA IN PARAMEDICAL SCIENCE,MQA/PA 9410
4589.,"Microcredential in Prehospital Care-II, Phases of Ambulance Call",DIPLOMA IN PARAMEDICAL SCIENCE,MQA/PA 9410
4590.,"Microcredential in Prehospital Care-II, Phases of Ambulance Call",DIPLOMA IN PARAMEDICAL SCIENCE,MQA/PA 9410
4591.,Microcredential in Psychiatry,DIPLOMA IN PARAMEDICAL SCIENCE,MQA/PA 9410
